,genre,artist_name,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,preference,prediction
196585,Soul,Albert King,The Hunter,0.575,0.8,0.287,0.000768,A,0.0831,-17.512999999999998,Major,0.0352,133.711,4/4,0.748,0,1
196621,Soul,Major Lance,Delilah,0.5670000000000001,0.64,0.47,0.0,F#,0.10099999999999999,-9.329,Major,0.0485,129.195,4/4,0.843,0,1
196733,Soul,Lo Nightly,Say You Wanna,0.292,0.63,0.327,8.78e-06,D,0.0906,-9.35,Minor,0.0722,75.131,4/4,0.413,0,1
196960,Soul,Marvin Gaye,If I Should Die Tonight,0.7929999999999999,0.43799999999999994,0.363,3.28e-05,C#,0.115,-12.959000000000001,Major,0.0352,137.85399999999998,4/4,0.344,0,1
197006,Soul,D'Angelo,Back to the Future (Part II),0.131,0.872,0.527,0.000122,D,0.153,-8.24,Major,0.402,95.212,4/4,0.624,0,1
197201,Soul,Thomston,Caffeine,0.5379999999999999,0.591,0.441,0.0126,F#,0.0964,-10.482999999999999,Major,0.0389,95.00299999999999,4/4,0.191,0,1
197226,Soul,Laura Mvula,Sing to the Moon,0.655,0.5429999999999999,0.295,0.0,G,0.245,-8.639,Minor,0.0309,129.987,5/4,0.369,0,1
197291,Soul,EXES,Over,0.669,0.7020000000000001,0.521,0.000867,E,0.106,-7.947,Major,0.0402,120.05799999999999,4/4,0.28300000000000003,0,1
197455,Soul,Jerry Folk,Sweetness on My Tongue,0.175,0.68,0.619,0.0388,F,0.0829,-2.137,Minor,0.193,94.104,4/4,0.39899999999999997,0,1
197483,Soul,Jessie Ware,"Stay Awake, Wait For Me",0.679,0.738,0.377,0.000248,C,0.0741,-11.085999999999999,Major,0.0545,119.84200000000001,3/4,0.254,0,1
226751,Soul,Rhye,Waste,0.8170000000000001,0.657,0.324,0.038,F,0.10099999999999999,-11.934000000000001,Minor,0.037000000000000005,84.01100000000001,4/4,0.225,0,1
227389,Soul,Dinah Washington,What A Diff'rence A Day Made - Single Version/Original Title,0.929,0.377,0.125,0.000173,C,0.11199999999999999,-17.914,Major,0.0315,104.206,3/4,0.222,0,1
227527,Soul,NoMBe,Summer's Gone 2.0,0.281,0.55,0.826,1.0300000000000001e-05,G,0.166,-8.779,Major,0.267,146.05,4/4,0.41200000000000003,0,1
227837,Soul,Point Point,Hands,0.233,0.596,0.5379999999999999,4.0799999999999996e-05,B,0.521,-7.047999999999999,Minor,0.128,106.04299999999999,4/4,0.359,0,1
